Name,StartTime,EndTime,BodyWeight,Exercise,Equipment,Reps,Weight,Time,Distance,Status,IsWarmup,RPE,RIR,Categories,Note
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Romanian Deadlift,Barbell,8,25,,,Done,false,,,"Hamstrings,Calves,Gluteals,Back (Lower)",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Romanian Deadlift,Barbell,8,25,,,Done,false,,,"Hamstrings,Calves,Gluteals,Back (Lower)",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Romanian Deadlift,Barbell,8,25,,,Done,false,,,"Hamstrings,Calves,Gluteals,Back (Lower)",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Leg Curl,Machine,8,45,,,Done,false,,,"Calves,Hamstrings",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Leg Curl,Machine,8,40,,,Done,false,,,"Calves,Hamstrings",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Leg Curl,Machine,8,40,,,Done,false,,,"Calves,Hamstrings",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Leg Extension,Machine,8,40,,,Done,false,,,"Quadriceps",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Leg Extension,Machine,8,40,,,Done,false,,,"Quadriceps",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Leg Extension,Machine,8,40,,,Done,false,,,"Quadriceps",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Dumbbell Lunges,Dumbbell,12,3,,,Done,false,,,"Quadriceps,Calves,Gluteals,Hamstrings",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Dumbbell Lunges,Dumbbell,12,3,,,Done,false,,,"Quadriceps,Calves,Gluteals,Hamstrings",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Dumbbell Lunges,Dumbbell,12,3,,,Done,false,,,"Quadriceps,Calves,Gluteals,Hamstrings",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Overhead Press,None,10,5,,,Done,false,,,"Pectorals,Deltoids,Triceps,Trapezius",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Overhead Press,None,10,5,,,Done,false,,,"Pectorals,Deltoids,Triceps,Trapezius",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Overhead Press,None,8,5,,,Done,false,,,"Pectorals,Deltoids,Triceps,Trapezius",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Band Assisted Pull-Up,None,8,50,,,Done,false,,,"Lats,Abdominals (Lower),Forearms",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Band Assisted Pull-Up,None,6,50,,,Done,false,,,"Lats,Abdominals (Lower),Forearms",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Band Assisted Pull-Up,None,8,57.5,,,Done,false,,,"Lats,Abdominals (Lower),Forearms",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Dumbbell Bench Press,Dumbbell,10,7,,,Done,false,,,"Chest,Trapezius,Triceps",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Dumbbell Bench Press,Dumbbell,10,7,,,Done,false,,,"Chest,Trapezius,Triceps",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Dumbbell Bench Press,Dumbbell,10,7,,,Done,false,,,"Chest,Trapezius,Triceps",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Dumbbell Bench Press,Dumbbell,10,8,,,Done,false,,,"Chest,Trapezius,Triceps",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Bench Dips,None,10,0,,,Done,false,,,"Triceps,Chest,Trapezius",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Bench Dips,None,10,0,,,Done,false,,,"Triceps,Chest,Trapezius",
Workout,2026-01-19T17:14:38.175Z,2026-01-19T17:51:30.881Z,60,Bench Dips,None,10,0,,,Done,false,,,"Triceps,Chest,Trapezius",
Friday,2026-01-23T09:16:57.474Z,2026-01-23T10:01:31.477Z,60,Wide-Grip Lat Pulldown,Machine,12,25,,,Done,false,,,"Lats,Biceps,Trapezius",
Friday,2026-01-23T09:16:57.474Z,2026-01-23T10:01:31.477Z,60,Wide-Grip Lat Pulldown,Machine,12,25,,,Done,false,,,"Lats,Biceps,Trapezius",
Friday,2026-01-23T09:16:57.474Z,2026-01-23T10:01:31.477Z,60,Wide-Grip Lat Pulldown,Machine,12,25,,,Done,false,,,"Lats,Biceps,Trapezius",
Friday,2026-01-23T09:16:57.474Z,2026-01-23T10:01:31.477Z,60,Dumbbell Bench Press,Dumbbell,12,7,,,Done,false,,,"Chest,Trapezius,Triceps",
Friday,2026-01-23T09:16:57.474Z,2026-01-23T10:01:31.477Z,60,Dumbbell Bench Press,Dumbbell,12,7,,,Done,false,,,"Chest,Trapezius,Triceps",
Friday,2026-01-23T09:16:57.474Z,2026-01-23T10:01:31.477Z,60,Dumbbell Bench Press,Dumbbell,12,7,,,Done,false,,,"Chest,Trapezius,Triceps",
Friday,2026-01-23T09:16:57.474Z,2026-01-23T10:01:31.477Z,60,Dumbbell Bench Press,Dumbbell,12,0,,,Done,false,,,"Chest,Trapezius,Triceps",
Friday,2026-01-23T09:16:57.474Z,2026-01-23T10:01:31.477Z,60,Seated Cable Rows,Machine,12,25,,,Done,false,,,"Biceps,Lats,Trapezius",
Friday,2026-01-23T09:16:57.474Z,2026-01-23T10:01:31.477Z,60,Seated Cable Rows,Machine,12,25,,,Done,false,,,"Biceps,Lats,Trapezius",
Friday,2026-01-23T09:16:57.474Z,2026-01-23T10:01:31.477Z,60,Seated Cable Rows,Machine,0,25,,,Done,false,,,"Biceps,Lats,Trapezius",
Friday,2026-01-23T09:16:57.474Z,2026-01-23T10:01:31.477Z,60,Lateral Raise,Dumbbell,12,2,,,Done,false,,,"Deltoids,Obliques",
Friday,2026-01-23T09:16:57.474Z,2026-01-23T10:01:31.477Z,60,Lateral Raise,Dumbbell,12,2,,,Done,false,,,"Deltoids,Obliques",
Friday,2026-01-23T09:16:57.474Z,2026-01-23T10:01:31.477Z,60,Lateral Raise,Dumbbell,8,3,,,Done,false,,,"Deltoids,Obliques",
