exercise_id,original_exercise_name,standardized_exercise_name,original_equipment,standardized_equipment,primary_focus_id,secondary_focus_id,categories,is_bodyweight_only,weight_tracking_enabled,supports_duration_tracking,suggested_primary_tracking,suggested_secondary_tracking,source_status,notes
3_4_Sit-Up,3/4 Sit-Up,3/4 Sit-Up,None,Bodyweight/None,1,2,Abdominals (Lower),Yes,No,No,Reps,None,Original,
90_90_Hamstring,90/90 Hamstring,90/90 Hamstring,None,Bodyweight/None,1,0,"Calves, Hamstrings",Yes,No,No,Reps,None,Original,
Ab_Crunch_Machine,Ab Crunch Machine,Ab Crunch Machine,Machine,Machine,1,2,Abdominals (Lower),Yes,No,No,Reps,None,Original,
Ab_Roller,Ab Roller,Ab Roller,None,Bodyweight/None,1,2,"Abdominals (Lower), Trapezius",No,Yes,No,Reps,Weight Optional,Original,
Adductor,Adductor,Adductor,Foam Roll,Foam Roll,1,0,Adductors,No,Yes,No,Reps,Weight Optional,Original,
Adductor_Groin,Adductor/Groin,Adductor/Groin,Unspecified,Unspecified,1,0,Adductors,No,Yes,No,Reps,Weight Optional,Original,
Advanced_Kettlebell_Windmill,Advanced Kettlebell Windmill,Advanced Kettlebell Windmill,Kettlebells,Kettlebells,1,2,"Abdominals (Lower), Gluteals, Hamstrings, Trapezius",No,Yes,No,Reps,Weight Optional,Original,
Air_Bike,Air Bike,Air Bike,None,Bodyweight/None,1,2,Abdominals (Lower),No,Yes,No,Reps,Weight Optional,Original,
All_Fours_Quad_Stretch,All Fours Quad Stretch,All Fours Quad Stretch,None,Bodyweight/None,1,0,Quadriceps,Yes,No,Yes,Duration or Reps,None,Original,
Alternate_Hammer_Curl,Alternate Hammer Curl,Alternate Hammer Curl,Dumbbell,Dumbbell,1,2,"Biceps, Forearms",No,Yes,No,Reps,Weight Optional,Original,
Alternate_Heel_Touchers,Alternate Heel Touchers,Alternate Heel Touchers,None,Bodyweight/None,1,2,Abdominals (Lower),Yes,No,No,Reps,None,Original,
Alternate_Incline_Dumbbell_Curl,Alternate Incline Dumbbell Curl,Alternate Incline Dumbbell Curl,Dumbbell,Dumbbell,1,2,"Biceps, Forearms",No,Yes,No,Reps,Weight Optional,Original,
Alternate_Leg_Diagonal_Bound,Alternate Leg Diagonal Bound,Alternate Leg Diagonal Bound,Unspecified,Unspecified,1,2,"Abductors, Adductors, Calves, Gluteals, Hamstrings, Quadriceps",No,Yes,No,Reps,Weight Optional,Original,
Alternating_Cable_Shoulder_Press,Alternating Cable Shoulder Press,Alternating Cable Shoulder Press,Machine,Machine,1,2,"Trapezius, Triceps",No,Yes,No,Reps,Weight Optional,Original,
Alternating_Deltoid_Raise,Alternating Deltoid Raise,Alternating Deltoid Raise,Dumbbell,Dumbbell,1,2,Trapezius,No,Yes,No,Reps,Weight Optional,Original,
Alternating_Floor_Press,Alternating Floor Press,Alternating Floor Press,Kettlebells,Kettlebells,1,2,"Abdominals (Lower), Chest, Trapezius, Triceps",No,Yes,No,Reps,Weight Optional,Original,
